sampleid	measured_mz	measured_rt	nearest_distance	scan	#Scan#	Adduct	CAS_Number	Charge	Compound_Name	Compound_Source	Data_Collector	ExactMass	INCHI	INCHI_AUX	Instrument	IonMode	Ion_Source	LibMZ	LibraryName	LibraryQualityString	Library_Class	MQScore	MZErrorPPM	MassDiff	Organism	PI	Precursor_MZ	Pubmed_ID	RT_Query	SharedPeaks	Smiles	SpecCharge	SpecMZ	SpectrumFile	SpectrumID	TIC_Query	UpdateWorkflowName	tags	internalFilename	rank	expert_annotation	shorthand
X254.1601mz62.7917	254.1601	62.7917	2.0690982818609718	343069	343069	M+H	890380	1	Spectral Match to Inosine, 2'-deoxy- from NIST14	Isolated	Data deposited by fevargas	0.0			QqQ	Positive	ESI	253.093	lib-00024.mgf	Bronze	3	0.725572	0.0	0.0	GNPS-NIST14-MATCHES	Data from Suryasarathi Dasgupta	253.093		61.019	5		0	253.093	specs_ms.pklbin	CCMSLIB00003138864	31964.0	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin			Other
X265.1154mz65.0188	265.1154	65.0188	12.670299988555946	343069	343069	M+H	890380	1	Spectral Match to Inosine, 2'-deoxy- from NIST14	Isolated	Data deposited by fevargas	0.0			QqQ	Positive	ESI	253.093	lib-00024.mgf	Bronze	3	0.725572	0.0	0.0	GNPS-NIST14-MATCHES	Data from Suryasarathi Dasgupta	253.093		61.019	5		0	253.093	specs_ms.pklbin	CCMSLIB00003138864	31964.0	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin			Other
X188.0692mz152.4098	188.0692	152.4098	1.476800216684705	49331	49331	M+H-H2O	832973	1	Spectral Match to DL-Indole-3-lactic acid from NIST14	Isolated	Data deposited by quinnr	0.0			Q-TOF	Positive	ESI	188.07	lib-00024.mgf	Bronze	3	0.990101	0.0	0.0	GNPS-NIST14-MATCHES	Data from Dorrestein	188.07		150.933	6		0	188.07	specs_ms.pklbin	CCMSLIB00003135135	45436.4	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin			Other
X227.0871mz159.0687	227.0871	159.0687	23.492260310578875	110122	110122	M+H	73223	1	L-Tryptophan	Isolated	NIST	0.0	InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)		Q-TOF	Positive	ESI	205.097	lib-00025.mgf	Bronze	3	0.957406	5.87743	0.00120544	NIST17	NIST	205.097		150.803	6	C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N	0	205.096	specs_ms.pklbin	CCMSLIB00003200668	137676.0	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin			Other
X270.1930mz159.3738	270.193	159.3738	24.955215595943088	610195	610195	M+H		1	Spectral Match to Glu-Phe from NIST14	Isolated	Data deposited by fevargas	0.0			Q-TOF	Positive	ESI	295.127	lib-00024.mgf	Bronze	3	0.7309180000000001	6.72132	0.00198364	GNPS-NIST14-MATCHES	Data from Karly Nisson	295.127		158.345	4		0	295.129	specs_ms.pklbin	CCMSLIB00003138557	20408.1	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin			Other
X189.0712mz159.7535	189.0712	159.7535	4.201341106123148	51228	51228	M+H-CH3NH2	526318	1	Spectral Match to Abrine from NIST14	Isolated	Data deposited by vphelan	0.0			QqQ	Positive	ESI	188.079	lib-00024.mgf	Bronze	3	0.992156	47.7854	0.00898743	GNPS-NIST14-MATCHES	Data from Pieter Dorrestein	188.079		155.671	6		0	188.07	specs_ms.pklbin	CCMSLIB00003138331	1860.44	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin			Other
X120.0478mz172.7316	120.0478	172.7316	40.02840657832884	1740	1740	M+H-CH4O2	186028795	1	2-Methylamino-1-(3,4-methylenedioxyphenyl)propan-1-one	Isolated	NIST	0.0	InChI=1S/C11H13NO3/c1-7(12-2)11(13)8-3-4-9-10(5-8)15-6-14-9/h3-5,7,12H,6H2,1-2H3		HCD	Positive	ESI	160.076	lib-00025.mgf	Bronze	3	0.808408	16.8721	0.00270081	NIST17	NIST	160.076		172.60299999999995	5	CC(C(=O)C1=CC2=C(C=C1)OCO2)NC	0	160.07299999999995	specs_ms.pklbin	CCMSLIB00003361753	54159.2	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin			Other
X479.2447mz182.1897	479.2447	182.1897	43.47615409140971	1242737	1242737	M+H		1	Aztreonam	Isolated	Ed Esquenazi 	0.0			qTof	Positive	LC-ESI	436.06	lib-00030.mgf	Bronze	3	0.8035180000000001	0.0	0.0	GNPS-SELLECKCHEM-FDA-PART1	Sirenas	436.06		177.16400000000004	10		0	436.06	specs_ms.pklbin	CCMSLIB00000005430	7399.87	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin			Other
X764.7061mz187.1529	764.7061	187.1529	50.684858034920026	2164050	2164050	M+H	83905015	1	Spectral Match to Azithromycin from NIST14	Isolated	Data deposited by aaksenov	0.0			HCD	Positive	ESI	749.5160000000002	lib-00030.mgf	Bronze	3	0.8979729999999999	0.0	0.0	GNPS-NIST14-MATCHES	Data from P. Dorrestein R. Knight	749.5160000000002		235.508	16		0	749.5160000000002	specs_ms.pklbin	CCMSLIB00003139807	51426.0	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin			Other
X764.3740mz187.3458	764.3739999999999	187.3458	50.40196100192925	2164050	2164050	M+H	83905015	1	Spectral Match to Azithromycin from NIST14	Isolated	Data deposited by aaksenov	0.0			HCD	Positive	ESI	749.5160000000002	lib-00030.mgf	Bronze	3	0.8979729999999999	0.0	0.0	GNPS-NIST14-MATCHES	Data from P. Dorrestein R. Knight	749.5160000000002		235.508	16		0	749.5160000000002	specs_ms.pklbin	CCMSLIB00003139807	51426.0	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin			Other
X229.1018mz188.7099	229.1018	188.7099	11.46580620148449	272310	272310	M-H-CO2	101278437	1	2-(9H-Xanthen-9-yl)-malonic acid	Isolated	NIST	0.0	InChI=1S/C16H12O5/c17-15(18)14(16(19)20)13-9-5-1-3-7-11(9)21-12-8-4-2-6-10(12)13/h1-8,13-14H,(H,17,18)(H,19,20)		HCD	Negative	ESI	239.071	lib-00025.mgf	Bronze	3	0.7587729999999999	40.1461	0.00959778	NIST17	NIST	239.071		183.046	4	C1=CC=C2C(=C1)C(C3=CC=CC=C3O2)C(C(=O)O)C(=O)O	0	239.081	specs_ms.pklbin	CCMSLIB00003466130	5897.58	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin			Other
X643.3279mz201.4037	643.3279	201.4037	53.54980362335611	1731202	1731202	M+H	 	0	DescladinoseAzithromycin	Lysate	Neha Garg	590.414	InChI=1S/C30H58N2O9/c1-12-22-30(8,38)25(35)20(6)32(11)15-16(2)14-29(7,37)26(18(4)23(33)19(5)27(36)40-22)41-28-24(34)21(31(9)10)13-17(3)39-28/h16-26,28,33-35,37-38H,12-15H2,1-11H3/t16-,17?,18+,19-,20-,21?,22-,23+,24?,25-,26-,28+,29-,30-/m1/s1	 	qTof	Positive	LC-ESI	591.42	lib-00010.mgf	Bronze	3	0.76445	1.75442	0.0010376	GNPS-LIBRARY	Pieter C Dorrestein	591.42	 	188.245	10	CC[C@H]1OC(=O)[C@H](C)[C@@H](O)[C@H](C)[C@@H](O[C@@H]2OC(C)CC(C2O)N(C)C)[C@](C[C@H](CN([C@@H]([C@H]([C@]1(C)O)O)C)C)C)(C)O	0	591.4209999999998	specs_ms.pklbin	CCMSLIB00000478608	7600.15	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin			Other
X162.0545mz215.9566	162.0545	215.9566	1.4996000833555745	1955	1955	M+H	1477505	1	Indole-2-carboxylic acid	Isolated	NIST	0.0	InChI=1S/C9H7NO2/c11-9(12)8-5-6-3-1-2-4-7(6)10-8/h1-5,10H,(H,11,12)		Q-TOF	Positive	ESI	162.055	lib-00025.mgf	Bronze	3	0.8894200000000001	12.3347	0.0019989	NIST17	NIST	162.055		214.457	4	C1=CC=C2C(=C1)C=C(N2)C(=O)O	0	162.053	specs_ms.pklbin	CCMSLIB00003196749	42593.8	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin			indole
X197.1006mz220.3039	197.1006	220.3039	7.7762074670111705	107661	107661	M+H	20696575	1	L-Tryptophanamide	Isolated	NIST	0.0	InChI=1S/C11H13N3O/c12-9(11(13)15)5-7-6-14-10-4-2-1-3-8(7)10/h1-4,6,9,14H,5,12H2,(H2,13,15)/t9-/m0/s1		HCD	Positive	ESI	204.113	lib-00025.mgf	Bronze	3	0.794825	23.9969	0.00489807	NIST17	NIST	204.113		216.943	5	C1=CC=C2C(=C1)C(=CN2)CC(C(=O)N)N	0	204.118	specs_ms.pklbin	CCMSLIB00003303055	39050.3	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin			L-Tryptophanamide
